date,sales,day_of_year,day_of_week,month,year
2020-01-01,17.702241834330493,1,2,1,2020
2020-01-02,12.256148492094118,2,3,1,2020
2020-01-03,12.280891512484018,3,4,1,2020
2020-01-04,14.385888161024067,4,5,1,2020
2020-01-05,6.998558159630184,5,6,1,2020
2020-01-06,11.340393246568123,6,0,1,2020
2020-01-07,24.748285334064654,7,1,1,2020
2020-01-08,22.086151918436304,8,2,1,2020
2020-01-09,13.626848437887539,9,3,1,2020
2020-01-10,14.77773352535684,10,4,1,2020
2020-01-11,7.471161228165422,11,5,1,2020
2020-01-12,8.852507090189462,12,6,1,2020
2020-01-13,16.726335590040886,13,0,1,2020
2020-01-14,10.28417886410386,14,1,1,2020
2020-01-15,12.614959922072673,15,2,1,2020
2020-01-16,16.144867170156992,16,3,1,2020
2020-01-17,9.973679958371886,17,4,1,2020
2020-01-18,14.322513295782052,18,5,1,2020
2020-01-19,9.593496915380836,19,6,1,2020
2020-01-20,11.396214587758935,20,0,1,2020
2020-01-21,30.108096484231474,21,1,1,2020
2020-01-22,23.027323619315993,22,2,1,2020
2020-01-23,22.197308890095904,23,3,1,2020
2020-01-24,10.803492154367015,24,4,1,2020
2020-01-25,12.904126605201704,25,5,1,2020
2020-01-26,17.54769583114101,26,6,1,2020
2020-01-27,15.546273243388653,27,0,1,2020
2020-01-28,27.485238387850774,28,1,1,2020
2020-01-29,23.962645038931637,29,2,1,2020
2020-01-30,23.19292539277876,30,3,1,2020
2020-01-31,17.691879704718172,31,4,1,2020
2020-02-01,27.641430221411017,32,5,2,2020
2020-02-02,19.659786881665347,33,6,2,2020
2020-02-03,18.72644518311189,34,0,2,2020
2020-02-04,32.41218369754821,35,1,2,2020
2020-02-05,23.532673020389115,36,2,2,2020
2020-02-06,28.34450304555447,37,3,2,2020
2020-02-07,13.527994016217498,38,4,2,2020
2020-02-08,14.341591423353108,39,5,2,2020
2020-02-09,23.29002855025385,40,6,2,2020
2020-02-10,30.2611726990949,41,0,2,2020
2020-02-11,31.68496201129647,42,1,2,2020
2020-02-12,31.561571165844025,43,2,2,2020
2020-02-13,28.271293698418326,44,3,2,2020
2020-02-14,18.38352132785016,45,4,2,2020
2020-02-15,19.805708490647696,46,5,2,2020
2020-02-16,22.39702738587983,47,6,2,2020
2020-02-17,34.220518847987634,48,0,2,2020
2020-02-18,34.883335475155036,49,1,2,2020
2020-02-19,25.63228574845681,50,2,2,2020
2020-02-20,33.674960232244636,51,3,2,2020
2020-02-21,26.098014945259578,52,4,2,2020
2020-02-22,22.236703060476735,53,5,2,2020
2020-02-23,29.943605426204773,54,6,2,2020
2020-02-24,36.24306731891586,55,0,2,2020
2020-02-25,39.94251531913388,56,1,2,2020
2020-02-26,32.33953732608346,57,2,2,2020
2020-02-27,32.5634533436238,58,3,2,2020
2020-02-28,31.701133276284864,59,4,2,2020
2020-02-29,32.48643185585583,60,5,2,2020
2020-03-01,26.442347849462966,61,6,3,2020
2020-03-02,32.077980469349015,62,0,3,2020
2020-03-03,31.637475075135544,63,1,3,2020
2020-03-04,32.402086012119184,64,2,3,2020
2020-03-05,39.98373740438506,65,3,3,2020
2020-03-06,38.60135874507815,66,4,3,2020
2020-03-07,28.98740877006839,67,5,3,2020
2020-03-08,35.55771944936086,68,6,3,2020
2020-03-09,36.479057175723376,69,0,3,2020
2020-03-10,35.570612677889166,70,1,3,2020
2020-03-11,41.77932361381873,71,2,3,2020
2020-03-12,45.16239886257667,72,3,3,2020
2020-03-13,33.153745044600605,73,4,3,2020
2020-03-14,38.64474217161903,74,5,3,2020
2020-03-15,18.876492245027748,75,6,3,2020
2020-03-16,40.176412594919604,76,0,3,2020
2020-03-17,40.588103539723726,77,1,3,2020
2020-03-18,39.79438446381656,78,2,3,2020
2020-03-19,39.208311294925615,79,3,3,2020
2020-03-20,24.632346443959108,80,4,3,2020
2020-03-21,30.920325097091187,81,5,3,2020
2020-03-22,34.917618488336046,82,6,3,2020
2020-03-23,44.57272967043641,83,0,3,2020
2020-03-24,38.63725425428477,84,1,3,2020
2020-03-25,38.281936408055586,85,2,3,2020
2020-03-26,37.23483180552396,86,3,3,2020
2020-03-27,40.10033006221723,87,4,3,2020
2020-03-28,34.574491954569986,88,5,3,2020
2020-03-29,31.35414661811209,89,6,3,2020
2020-03-30,40.579257657436266,90,0,3,2020
2020-03-31,42.502364280202826,91,1,3,2020
2020-04-01,47.91466402769588,92,2,4,2020
2020-04-02,36.939015225447235,93,3,4,2020
2020-04-03,34.54927922749891,94,4,4,2020
2020-04-04,31.593062988210526,95,5,4,2020
2020-04-05,27.266839401985674,96,6,4,2020
2020-04-06,40.03360208944611,97,0,4,2020
2020-04-07,43.82097360849621,98,1,4,2020
2020-04-08,43.554406608524765,99,2,4,2020
2020-04-09,39.692476076042745,100,3,4,2020
2020-04-10,29.485661570001053,101,4,4,2020
2020-04-11,31.784172398806188,102,5,4,2020
2020-04-12,33.163594596132526,103,6,4,2020
2020-04-13,34.793425154909826,104,0,4,2020
2020-04-14,41.92024934581941,105,1,4,2020
2020-04-15,45.719368306774705,106,2,4,2020
2020-04-16,50.42604621392461,107,3,4,2020
2020-04-17,37.52468780889331,108,4,4,2020
2020-04-18,35.22417312359121,109,5,4,2020
2020-04-19,34.51387055744778,110,6,4,2020
2020-04-20,29.179983152546434,111,0,4,2020
2020-04-21,42.52342680438161,112,1,4,2020
2020-04-22,43.89008142894823,113,2,4,2020
2020-04-23,53.16186092476458,114,3,4,2020
2020-04-24,35.501475716465606,115,4,4,2020
2020-04-25,35.21683021777257,116,5,4,2020
2020-04-26,34.4466580480321,117,6,4,2020
2020-04-27,32.62627551825403,118,0,4,2020
2020-04-28,48.02792307213171,119,1,4,2020
2020-04-29,46.96868257366666,120,2,4,2020
2020-04-30,44.38347037771307,121,3,4,2020
2020-05-01,31.46188690701411,122,4,5,2020
2020-05-02,40.231813156556235,123,5,5,2020
2020-05-03,27.083246116614205,124,6,5,2020
2020-05-04,40.84011492086236,125,0,5,2020
2020-05-05,52.6664835475763,126,1,5,2020
2020-05-06,37.62132892310541,127,2,5,2020
2020-05-07,36.92678637506236,128,3,5,2020
2020-05-08,35.80240151712584,129,4,5,2020
2020-05-09,29.96153511186355,130,5,5,2020
2020-05-10,25.566412600180556,131,6,5,2020
2020-05-11,37.4424444845144,132,0,5,2020
2020-05-12,35.56348402345979,133,1,5,2020
2020-05-13,44.07020183780665,134,2,5,2020
2020-05-14,34.25725953486069,135,3,5,2020
2020-05-15,42.118253037430534,136,4,5,2020
2020-05-16,27.595877341214265,137,5,5,2020
2020-05-17,30.71191939115134,138,6,5,2020
2020-05-18,40.13946150109004,139,0,5,2020
2020-05-19,33.663166143518026,140,1,5,2020
2020-05-20,41.75276337050114,141,2,5,2020
2020-05-21,44.27456557779247,142,3,5,2020
2020-05-22,25.187399744086235,143,4,5,2020
2020-05-23,31.263836876548048,144,5,5,2020
2020-05-24,32.422986873264364,145,6,5,2020
2020-05-25,38.755699166595534,146,0,5,2020
2020-05-26,32.381356225342444,147,1,5,2020
2020-05-27,32.73627226329833,148,2,5,2020
2020-05-28,39.04668531437749,149,3,5,2020
2020-05-29,33.383470870950354,150,4,5,2020
2020-05-30,30.243048409397556,151,5,5,2020
2020-05-31,31.482501634334415,152,6,5,2020
2020-06-01,30.050512994647477,153,0,6,2020
2020-06-02,38.3093938676545,154,1,6,2020
